model,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_f1_macro,test_f1_macro,test_confusion_matrix
Random Forest,0.9838304552590267,0.841,0.9839313992780003,0.7548039049644883,0.9838304552590267,0.7529332105603292,0.9838296120072999,0.753860443515616,"[[1436, 157], [161, 246]]"
Gradient Boosting,0.807927786499215,0.809,0.8084220367484842,0.7270792304286251,0.807927786499215,0.7950400323281679,0.8078508061154726,0.7470114904467036,"[[1304, 289], [93, 314]]"
XGBoost,0.7976452119309262,0.7995,0.7982980479003013,0.7183613838242169,0.7976452119309263,0.7881618135855424,0.7975344361451184,0.7373308821915906,"[[1286, 307], [94, 313]]"
SVM,0.8172684458398745,0.795,0.8174261853813878,0.7098471280351859,0.8172684458398745,0.7716175343293987,0.817245741685142,0.7277523901348091,"[[1292, 301], [109, 298]]"
AdaBoost,0.7646781789638932,0.7845,0.7661022825120001,0.7008298270219729,0.7646781789638932,0.7650261972295871,0.7643629133374451,0.7176798259964478,"[[1271, 322], [109, 298]]"
Decision Tree,1.0,0.7845,1.0,0.6680702561742599,1.0,0.6689902537360164,1.0,0.6685266857167688,"[[1376, 217], [214, 193]]"
KNN,0.8180533751962323,0.7345,0.819106838513042,0.655548128342246,0.8180533751962323,0.7153463170412323,0.8179030866445844,0.6646066186188804,"[[1191, 402], [129, 278]]"
Naive Bayes,0.7062794348508634,0.716,0.7075275388328486,0.6389140610290126,0.7062794348508634,0.6945867284850336,0.7058371491817865,0.6446873248458643,"[[1164, 429], [139, 268]]"
